source_name,source_column,staging_model,staging_column,mart_model,mart_column,status,checked_at
agencies,AGENCY_KEY,stg_agencies,,,,dropped_at_staging,2026-02-02T15:15:11.771699
agencies,NAME,stg_agencies,,,,dropped_at_staging,2026-02-02T15:15:11.771699
agencies,REGION,stg_agencies,REGION,,,propagated_to_staging,2026-02-02T15:15:11.771699
agencies,EMAIL,stg_agencies,EMAIL,,,propagated_to_staging,2026-02-02T15:15:11.771699
agencies,PHONE,stg_agencies,PHONE,,,propagated_to_staging,2026-02-02T15:15:11.771699
agencies,CHANNEL_TYPE,stg_agencies,CHANNEL_TYPE,,,propagated_to_staging,2026-02-02T15:15:11.771699
claim_payouts,CLAIM_KEY,stg_claim_payouts,,,,dropped_at_staging,2026-02-02T15:15:11.771699
claim_payouts,PAYOUT_KEY,stg_claim_payouts,,,,dropped_at_staging,2026-02-02T15:15:11.771699
claim_payouts,PAYOUT_DATE,stg_claim_payouts,PAYOUT_DATE,,,propagated_to_staging,2026-02-02T15:15:11.771699
claim_payouts,PAYOUT_AMOUNT,stg_claim_payouts,PAYOUT_AMOUNT,,,propagated_to_staging,2026-02-02T15:15:11.771699
claim_payouts,PAYOUT_TYPE,stg_claim_payouts,PAYOUT_TYPE,,,propagated_to_staging,2026-02-02T15:15:11.771699
claims,CLAIM_KEY,stg_claims,,,,dropped_at_staging,2026-02-02T15:15:11.771699
claims,POLICY_KEY,stg_claims,,,,dropped_at_staging,2026-02-02T15:15:11.771699
claims,REPORT_DATE,stg_claims,REPORT_DATE,,,propagated_to_staging,2026-02-02T15:15:11.771699
claims,INCIDENT_DATE,stg_claims,INCIDENT_DATE,,,propagated_to_staging,2026-02-02T15:15:11.771699
claims,CLAIM_STATUS,stg_claims,CLAIM_STATUS,,,propagated_to_staging,2026-02-02T15:15:11.771699
claims,CLAIM_CAUSE,stg_claims,CLAIM_CAUSE,,,propagated_to_staging,2026-02-02T15:15:11.771699
claims,LOSS_AMOUNT,stg_claims,LOSS_AMOUNT,,,propagated_to_staging,2026-02-02T15:15:11.771699
policies,POLICY_ID,stg_policies,POLICY_ID,,,propagated_to_staging,2026-02-02T15:15:11.771699
policies,POLICY_NUMBER,stg_policies,POLICY_NUMBER,,,propagated_to_staging,2026-02-02T15:15:11.771699
policies,POLICYHOLDER_KEY,stg_policies,,,,dropped_at_staging,2026-02-02T15:15:11.771699
policies,AGENCY_KEY,stg_policies,,,,dropped_at_staging,2026-02-02T15:15:11.771699
policies,PRODUCT_ID,stg_policies,PRODUCT_ID,,,propagated_to_staging,2026-02-02T15:15:11.771699
policies,VEHICLE_KEY,stg_policies,,,,dropped_at_staging,2026-02-02T15:15:11.771699
policies,START_DATE,stg_policies,START_DATE,,,propagated_to_staging,2026-02-02T15:15:11.771699
policies,END_DATE,stg_policies,END_DATE,,,propagated_to_staging,2026-02-02T15:15:11.771699
policies,POLICY_STATUS,stg_policies,POLICY_STATUS,,,propagated_to_staging,2026-02-02T15:15:11.771699
policyholders,POLICYHOLDER_KEY,stg_policyholders,,,,dropped_at_staging,2026-02-02T15:15:11.771699
policyholders,FIRST_NAME,stg_policyholders,FIRST_NAME,,,propagated_to_staging,2026-02-02T15:15:11.771699
policyholders,LAST_NAME,stg_policyholders,LAST_NAME,,,propagated_to_staging,2026-02-02T15:15:11.771699
policyholders,DATE_OF_BIRTH,stg_policyholders,DATE_OF_BIRTH,,,propagated_to_staging,2026-02-02T15:15:11.771699
policyholders,GENDER,stg_policyholders,GENDER,,,propagated_to_staging,2026-02-02T15:15:11.771699
policyholders,EMAIL,stg_policyholders,EMAIL,,,propagated_to_staging,2026-02-02T15:15:11.771699
policyholders,PHONE,stg_policyholders,PHONE,,,propagated_to_staging,2026-02-02T15:15:11.771699
policyholders,ADDRESS,stg_policyholders,ADDRESS,,,propagated_to_staging,2026-02-02T15:15:11.771699
policyholders,CITY,stg_policyholders,CITY,,,propagated_to_staging,2026-02-02T15:15:11.771699
policyholders,STATE,stg_policyholders,STATE,,,propagated_to_staging,2026-02-02T15:15:11.771699
policyholders,ZIP,stg_policyholders,ZIP,,,propagated_to_staging,2026-02-02T15:15:11.771699
