claim_key,payout_key,payout_date,payout_amount,payout_type
C001,PY001,2025-09-20,3000,Repair
C001,PY002,2025-09-25,200,Rental
C002,PY003,2025-07-07,1000,Repair
C003,PY004,2025-05-28,2400,Settlement
C005,PY005,2025-08-07,500,Glass
C006,PY006,2025-09-18,2000,Repair
C007,PY007,2025-09-22,1700,Settlement
C008,PY008,2025-10-03,500,Temporary Fix
C009,PY009,2025-10-12,2500,Repair
C010,PY010,2025-08-14,400,Glass
C011,PY011,2025-07-28,900,Repair
C012,PY012,2025-06-22,2600,Settlement
C013,PY013,2025-09-07,600,Temporary Fix
C014,PY014,2025-05-25,2000,Settlement
C015,PY015,2025-09-02,3200,Repair
C016,PY016,2025-09-15,4800,Repair
C017,PY017,2025-09-24,6500,Repair
C018,PY018,2025-09-30,1500,Temporary Fix
C019,PY019,2025-10-06,7000,Repair
C020,PY020,2025-10-13,1200,Assessment
